,activeinvestors,alternateofficecount,businessstatus,companyalsoknownas,companyfinancingstatus,companyformername,companyid,companylegalname,companyname,description,employees,exchange,facebookprofileurl,financingstatusnote,firstfinancingdate,firstfinancingdealclass,firstfinancingdealtype,firstfinancingdealtype2,firstfinancingdealtype3,firstfinancingsize,firstfinancingsizestatus,firstfinancingstatus,formerinvestors,growthrate,growthratechange,growthratepercentchange,growthratepercentile,hqaddressline1,hqaddressline2,hqcity,hqcountry,hqemail,hqfax,hqglobalregion,hqglobalsubregion,hqlocation,hqphone,hqpostcode,hqstate_province,keywords,lastfinancingdate,lastfinancingdealclass,lastfinancingdealtype,lastfinancingdealtype2,lastfinancingdealtype3,lastfinancingsize,lastfinancingsizestatus,lastfinancingstatus,lastupdated,linkedinprofileurl,ownershipstatus,parentcompany,pitchbookprofilelink,primaryindustrycode,primaryindustrygroup,primaryindustrysector,sizemultiple,sizemultiplechange,sizemultiplepercentchange,sizemultiplepercentile,socialgrowthrate,socialgrowthratepercentile,socialsizemultiple,socialsizemultiplepercentile,ticker,totalraised,twitterfollowers,twitterfollowerschange,twitterfollowerspercentchange,twittergrowthrate,twittergrowthratepercentile,twitterprofileurl,twittersizemultiple,twittersizemultiplepercentile,universe,webgrowthrate,webgrowthratepercentile,website,websizemultiple,websizemultiplepercentile,wrds_src,yearfounded
216,,,Profitable,,Private Equity-Backed,,11912-77,Harris Research Inc.,Chem-Dry,"Provider of upholstery and carpet cleaning services for residential and commercial markets. The company offers products such as stain extinguishers, pet odor extinguishers, carpet deodorizers and others for carpet cleaning, pet urine odor removal, leather cleaning and restoration, granite countertop renewal, water damage restoration as well as tile cleaning enabling customers with allergens and bacteria free carpets and upholstery.",65.0,,https://www.facebook.com/chemdryUSA,"The company was acquired by Belfor USA Group, via its financial sponsor American Securities, through an LBO on July 10, 2019 for an undisclosed sum.",1996-01-01,Private Equity,Buyout/LBO,,,,,Completed,7.0,1.19,0.0,0.33,97.0,1530 North 1000 West,,Logan,United States,,,Americas,North America,"Logan, UT",+1 (435) 755-0099,84321,Utah,"carpet cleaning, cleaning, deodorizer, home care, spot remover, upholstery cleaning",2019-07-10,Private Equity,Buyout/LBO,Secondary Buyout,Add-on,,,Completed,2021-06-08,http://www.linkedin.com/company/chem-dry-international,Acquired/Merged (Operating Subsidiary),Belfor USA Group,https://my.pitchbook.com?c=11912-77,Other Commercial Services,Commercial Services,Business Products and Services (B2B),43.3,0.04,0.1,98.0,0.02,77.0,1.75,61.0,,,553.0,1.0,0.18,0.02,77.0,https://twitter.com/ChemDryUSA,1.75,61.0,Private Equity,2.35,98.0,www.chemdry.com,84.85,99.0,ot_na,1977.0
217,,,Profitable,,Private Equity-Backed,,11912-77,Harris Research Inc.,Chem-Dry,"Provider of upholstery and carpet cleaning services for residential and commercial markets. The company offers products such as stain extinguishers, pet odor extinguishers, carpet deodorizers and others for carpet cleaning, pet urine odor removal, leather cleaning and restoration, granite countertop renewal, water damage restoration as well as tile cleaning enabling customers with allergens and bacteria free carpets and upholstery.",65.0,,https://www.facebook.com/chemdryUSA,"The company was acquired by Belfor USA Group, via its financial sponsor American Securities, through an LBO on July 10, 2019 for an undisclosed sum.",1996-01-01,Private Equity,Buyout/LBO,,,,,Completed,7.0,1.19,0.0,0.33,97.0,1530 North 1000 West,,Logan,United States,,,Americas,North America,"Logan, UT",+1 (435) 755-0099,84321,Utah,"carpet cleaning, cleaning, deodorizer, home care, spot remover, upholstery cleaning",2019-07-10,Private Equity,Buyout/LBO,Secondary Buyout,Add-on,,,Completed,2021-06-08,http://www.linkedin.com/company/chem-dry-international,Acquired/Merged (Operating Subsidiary),Belfor USA Group,https://my.pitchbook.com?c=11912-77,Other Commercial Services,Commercial Services,Business Products and Services (B2B),43.3,0.04,0.1,98.0,0.02,77.0,1.75,61.0,,,553.0,1.0,0.18,0.02,77.0,https://twitter.com/ChemDryUSA,1.75,61.0,Private Equity,2.35,98.0,www.chemdry.com,84.85,99.0,pe_na,1977.0
218,2.0,,Generating Revenue,Custom Steel,Private Equity-Backed,,12195-37,"Custom Steel Processing, Inc.",Custom Steel Processing,"Provider of custom steel processing services. The company specializes in carbon steel flat-rolled products, processed and packaged to clients exact specifications and offers cut-to-length, slitting, custom blanking and shearing for cold-rolled, galvanized and hot-rolled pickled and oiled substrate, enabling customers to get their order delivered according to their precise scheduling requirements on time.",,,,Mississippi Valley Capital sold a stake in the company to an undisclosed buyer.,2002-07-14,Venture Capital,Early Stage VC,,,7.5,Actual,Completed,1.0,,,,,1001 College Street,PO Box 39,Madison,United States,,,Americas,North America,"Madison, IL",+1 (618) 876-7276,62060,Illinois,"cold-rolled, slitting flats rolled, slitting steel, steel processing, steel processing service, steel processing unit",,Other,Secondary Transaction - Private,,,,,Completed,2021-04-21,http://www.linkedin.com/company/custom-steel-processing-inc,Privately Held (backing),,https://my.pitchbook.com?c=12195-37,Industrial Supplies and Parts,Commercial Products,Business Products and Services (B2B),,,,,,,,,,11.5,,,,,,,,,"Debt Financed, Private Equity, Venture Capital",,,www.customsteelpro.com,,,vc_na,2002.0
219,14.0,,Generating Revenue,Meicai.cn,Venture Capital-Backed,,119360-26,"Beijing Yuncai World Information Technology Co., Ltd.",Meicai,"Developer of an online fresh food aggregator platform designed to connect farmers and restaurants. The company's platform cuts out the middlemen by allowing customers including businesses and restaurants order directly from the farms, enabling framers to sell vegetables directly to restaurants easily.",30000.0,,,"The company raised $600 million of venture funding in a deal led by Hillhouse Capital Group and Tiger Global Management on October 10, 2018, putting the company's pre-money valuation at $6.4 billion. Other undisclosed investors also participated in the round. The money will be used to expand as the startup competes for a bigger share of China's fragmented food sourcing market.",2014-06-01,Venture Capital,Seed Round,Seed Round,,1.60297966,Actual,Completed,,-0.16,0.0,0.0,8.0,"601, 6th Floor, Building 1","No. 88 Wangfujing Street, Dongcheng District",Beijing,China,,,Asia,East Asia,"Beijing, China",+86 (0)40 0113 7137,100086,Chaoyang,"food aggregator, food aggregator app, food aggregator platform, fresh food, fresh food vendor, fresh produce distribution, fresh produce ecommerce platform, mobile e-vendor",2018-10-10,Venture Capital,Later Stage VC,Series E1,,600.0,Estimated,Completed,2021-06-08,http://www.linkedin.com/company/美菜网,Privately Held (backing),,https://my.pitchbook.com?c=119360-26,Business/Productivity Software,Software,Information Technology,24.8,0.0,0.0,96.0,,,,,,1401.38585441,,,,,,,,,"Debt Financed, Venture Capital",-0.16,9.0,www.meicai.cn,24.8,96.0,vc_row,2014.0
220,6.0,,Generating Revenue,,Venture Capital-Backed,,120366-91,Kilobaser GmbH,Kilobaser,"Developer of a personal DNA synthesizer designed to meet the frequent need for DNA primers. The company's device is fueled by a single-cartridge system that helps in DNA synthesis, enabling life science professionals the ability to conveniently create DNA right on their lab bench.",8.0,,https://www.facebook.com/kilobaser.DNA,"The company raised venture funding from Cathexis Ventures on an undisclosed date. Previously, the company joined Y Combinator as a part of their Winter 2021 cohort in 2021 and received $125,000 in funding. As a part of the transaction, the funding was provided in the form of SAFE notes.",2014-05-02,Other,Accelerator/Incubator,,,0.05,Actual,Completed,,1.39,0.0,0.0,97.0,Reininghausstrasse 13a,,Graz,Austria,office@kilobaser.com,,Europe,Western Europe,"Graz, Austria",+43 (0)650 4223 727,8020,Styria,"dna data storage, dna primers synthesis, dna sequencing kits, dna sequencing tools, dna synthesis instruments, dna synthesis technology, microfluidics system, microfluidics technologies",,Venture Capital,Later Stage VC,,,,,Completed,2021-06-08,http://www.linkedin.com/company/kilobaser,Privately Held (backing),,https://my.pitchbook.com?c=120366-91,Other Devices and Supplies,Healthcare Devices and Supplies,Healthcare,2.15,0.0,0.23,69.0,0.3,93.0,1.59,59.0,,1.86484292,503.0,0.0,0.0,0.3,93.0,https://twitter.com/DNAPrototyper,1.59,59.0,Venture Capital,0.0,10.0,www.kilobaser.com,4.73,82.0,vc_row,2014.0
221,2.0,,Generating Revenue,,Venture Capital-Backed,,120637-09,Clover Inc.,Clover,"Developer of a dating application intended to help users find a dating partner. The company's application uses an algorithm that automatically matches people in close locales and suggests places for a date based on distance, popularity and price, enabling users to find their dating partner with minimal effort.",23.0,,https://www.facebook.com/thecloverapp,"The company raised $12 million of venture funding through a combination of debt and equity from undisclosed investors on February 3, 2021. The transaction was supported by debt financing in the form of growth debt from Espresso Capital. The funds will be used to accelerate the company's rapid growth.",2014-09-01,Individual,Angel (individual),Angel (individual),,2.0,Actual,Completed,,-0.1,0.0,-4.63,9.0,1725 Avenue Road,PO Box 70059,Toronto,Canada,,,Americas,North America,"Toronto, Canada",,M5M 0A0,Ontario,"dating platform, dating software, mobile dating application, mobile dating platform, online dating",2021-02-03,Venture Capital,Later Stage VC,,,12.0,Actual,Completed,2021-06-08,http://www.linkedin.com/company/clover-dating,Privately Held (backing),,https://my.pitchbook.com?c=120637-09,Social/Platform Software,Software,Information Technology,1691.31,1.8,0.11,100.0,-0.05,32.0,31.6,94.0,,11.25,10016.0,1.0,0.01,-0.05,32.0,https://twitter.com/thecloverapp,31.6,94.0,Venture Capital,-0.54,6.0,www.clover.co,7.75,88.0,vc_na,2014.0
222,17.0,,Generating Revenue,,Venture Capital-Backed,"Syndicated Loan Direct, SyndicatedLoanDirect",120645-91,"firstAI, Inc.",firstAI,"Operator of a financial platform designed to extract data from unstructured documents. The company's platform specialises in fixed income documentation that requires detailed interpretation and customizable data-sets via an intuitive search interface to simplifying and converting customized information into underlying financial risk, enabling clients to surface the risk and discover valuation in complex contracts.",1.0,,https://www.facebook.com/syndicatedloandirect,"The company raised $2.39 million of seed funding from Frank Sica and undisclosed investors on January 11, 2018, putting the company's pre-money valuation at $9.9 million.",2015-07-15,Other,Accelerator/Incubator,,,0.118,Actual,Completed,,0.0,0.0,0.0,13.0,1412 Broadway,21st Floor,New York,United States,,,Americas,North America,"New York, NY",+1 (617) 823-6911,10018,New York,"deals structure information, financial data, financial research, fixed income documentation, syndicated loans, syndicated loans data, syndicated loans market",2018-01-11,Venture Capital,Seed Round,Seed Round,,2.389158,Actual,Completed,2021-06-08,http://www.linkedin.com/company/syndicated-loan-direct,Privately Held (backing),,https://my.pitchbook.com?c=120645-91,Financial Software,Software,Information Technology,0.45,0.0,0.24,31.0,0.0,41.0,0.22,26.0,,5.8,71.0,0.0,0.0,0.0,41.0,https://twitter.com/SyndicatedLoan,0.22,26.0,Venture Capital,0.0,10.0,www.syndicatedloandirect.com,0.67,40.0,vc_na,2013.0
223,2.0,,Generating Revenue,Custom Steel,Private Equity-Backed,,12195-37,"Custom Steel Processing, Inc.",Custom Steel Processing,"Provider of custom steel processing services. The company specializes in carbon steel flat-rolled products, processed and packaged to clients exact specifications and offers cut-to-length, slitting, custom blanking and shearing for cold-rolled, galvanized and hot-rolled pickled and oiled substrate, enabling customers to get their order delivered according to their precise scheduling requirements on time.",,,,Mississippi Valley Capital sold a stake in the company to an undisclosed buyer.,2002-07-14,Venture Capital,Early Stage VC,,,7.5,Actual,Completed,1.0,,,,,1001 College Street,PO Box 39,Madison,United States,,,Americas,North America,"Madison, IL",+1 (618) 876-7276,62060,Illinois,"cold-rolled, slitting flats rolled, slitting steel, steel processing, steel processing service, steel processing unit",,Other,Secondary Transaction - Private,,,,,Completed,2021-04-21,http://www.linkedin.com/company/custom-steel-processing-inc,Privately Held (backing),,https://my.pitchbook.com?c=12195-37,Industrial Supplies and Parts,Commercial Products,Business Products and Services (B2B),,,,,,,,,,11.5,,,,,,,,,"Debt Financed, Private Equity, Venture Capital",,,www.customsteelpro.com,,,ot_na,2002.0
224,3.0,2.0,Generating Revenue,PAG,Private Equity-Backed,Precision Heliparts,12323-53,"Precision Aviation Group, Inc.",Precision Aviation Group,"Manufacturer and provider of aircraft parts and maintenance, repair and overhaul (MRO) services for Rotary and Fixed-Wing aircraft. The company provides repairs and sales support services for avionics, instruments, electronics and electrical accessories used in helicopters and turboprop aircraft internationally to aerospace and defense industry.",93.0,,https://www.facebook.com/Precision-Aviation-Group-100997506634324,"The company received $8.85 million of debt financing in the form of a term loan from Churchill Asset Management and Madison Capital Funding on January 17, 2020.",,Private Equity,PE Growth/Expansion,Acquisition Financing,,,,Completed,3.0,0.28,0.0,0.0,92.0,495 Lake Mirror Road,Building 800,Atlanta,United States,info@precisionaviationgroup.com,+1 (404) 767-5900,Americas,North America,"Atlanta, GA",+1 (404) 768-9090,30349,Georgia,"aircraft maintenance, aircraft parts, aircraft parts distributor, aircraft parts provider, aircraft parts sales",2020-05-03,Debt,Debt - PPP,,,0.77284,Actual,Completed,2021-06-08,http://www.linkedin.com/company/precision-aviation-group,Privately Held (backing),,https://my.pitchbook.com?c=12323-53,Aerospace and Defense,Commercial Products,Business Products and Services (B2B),12.19,0.0,0.0,93.0,,,,,,8.85,,,,,,,,,"Debt Financed, Private Equity",0.28,93.0,www.precisionaviationgroup.com,12.19,92.0,ot_na,1993.0
225,3.0,2.0,Generating Revenue,PAG,Private Equity-Backed,Precision Heliparts,12323-53,"Precision Aviation Group, Inc.",Precision Aviation Group,"Manufacturer and provider of aircraft parts and maintenance, repair and overhaul (MRO) services for Rotary and Fixed-Wing aircraft. The company provides repairs and sales support services for avionics, instruments, electronics and electrical accessories used in helicopters and turboprop aircraft internationally to aerospace and defense industry.",93.0,,https://www.facebook.com/Precision-Aviation-Group-100997506634324,"The company received $8.85 million of debt financing in the form of a term loan from Churchill Asset Management and Madison Capital Funding on January 17, 2020.",,Private Equity,PE Growth/Expansion,Acquisition Financing,,,,Completed,3.0,0.28,0.0,0.0,92.0,495 Lake Mirror Road,Building 800,Atlanta,United States,info@precisionaviationgroup.com,+1 (404) 767-5900,Americas,North America,"Atlanta, GA",+1 (404) 768-9090,30349,Georgia,"aircraft maintenance, aircraft parts, aircraft parts distributor, aircraft parts provider, aircraft parts sales",2020-05-03,Debt,Debt - PPP,,,0.77284,Actual,Completed,2021-06-08,http://www.linkedin.com/company/precision-aviation-group,Privately Held (backing),,https://my.pitchbook.com?c=12323-53,Aerospace and Defense,Commercial Products,Business Products and Services (B2B),12.19,0.0,0.0,93.0,,,,,,8.85,,,,,,,,,"Debt Financed, Private Equity",0.28,93.0,www.precisionaviationgroup.com,12.19,92.0,pe_na,1993.0
226,,7.0,Generating Revenue,"PURE, Privilege Underwriters Reciprocal Exchange",Formerly PE-Backed,,12364-48,"Privilege Underwriters, Inc.",Privilege Underwriters,"Provider of property and casualty insurance. The company offers home owner insurance, private fleet auto insurance, personal excess liability coverage, flood insurance, watercraft insurance and personal umbrella liability insurance as well as coverage for jewelry, fine arts and collections enabling enterprises to prevent losses and get assistance in the claim process.",800.0,,https://www.facebook.com/PUREinsuranceUS,"The company was acquired by Tokio Marine Holdings for $3.1 billion on October 3, 2019. This acquisition provides unique growth opportunities and portfolio diversification for the Tokio Marine Group.",2006-01-01,Private Equity,Buyout/LBO,,,,,Completed,3.0,,,,,44 South Broadway,Suite 301,White Plains,United States,,,Americas,North America,"White Plains, NY",+1 (888) 813-7873,10601,New York,"insurance broker, insurance brokerage, insurance policy, liability coverage, personal excess liability",2020-02-10,Corporate,Merger/Acquisition,,,3100.0,Actual,Completed,2021-04-21,http://www.linkedin.com/company/pure-group-of-insurance-companies,Acquired/Merged (Operating Subsidiary),Tokio Marine Holdings,https://my.pitchbook.com?c=12364-48,Property and Casualty Insurance,Insurance,Financial Services,,,,,,,,,,,,,,,,https://twitter.com/PUREinsurance,,,"Debt Financed, Private Equity",,,www.pureinsurance.com,,,ot_na,2006.0
227,,7.0,Generating Revenue,"PURE, Privilege Underwriters Reciprocal Exchange",Formerly PE-Backed,,12364-48,"Privilege Underwriters, Inc.",Privilege Underwriters,"Provider of property and casualty insurance. The company offers home owner insurance, private fleet auto insurance, personal excess liability coverage, flood insurance, watercraft insurance and personal umbrella liability insurance as well as coverage for jewelry, fine arts and collections enabling enterprises to prevent losses and get assistance in the claim process.",800.0,,https://www.facebook.com/PUREinsuranceUS,"The company was acquired by Tokio Marine Holdings for $3.1 billion on October 3, 2019. This acquisition provides unique growth opportunities and portfolio diversification for the Tokio Marine Group.",2006-01-01,Private Equity,Buyout/LBO,,,,,Completed,3.0,,,,,44 South Broadway,Suite 301,White Plains,United States,,,Americas,North America,"White Plains, NY",+1 (888) 813-7873,10601,New York,"insurance broker, insurance brokerage, insurance policy, liability coverage, personal excess liability",2020-02-10,Corporate,Merger/Acquisition,,,3100.0,Actual,Completed,2021-04-21,http://www.linkedin.com/company/pure-group-of-insurance-companies,Acquired/Merged (Operating Subsidiary),Tokio Marine Holdings,https://my.pitchbook.com?c=12364-48,Property and Casualty Insurance,Insurance,Financial Services,,,,,,,,,,,,,,,,https://twitter.com/PUREinsurance,,,"Debt Financed, Private Equity",,,www.pureinsurance.com,,,pe_na,2006.0
228,1.0,,Profitable,,Private Equity-Backed,,124050-16,Bergfalk & Co AB,Bergfalk,"Distributor of fresh meat, fish and seafood products. The company focuses on distributing fresh produce with the help of a team of knowledgeable professionals who have experience in cutting of meat, fish filleting as well as seafood boiling and delicacies processing all of which is performed in certified premises, enabling restaurant, catering, café, hotel and shop to receive cost-effective food delivered on time.",102.0,,https://www.facebook.com/bergfalkco,"The company was acquired by Litorina through an LBO on January 11, 2018 for an undisclosed sum.",2018-01-11,Private Equity,Buyout/LBO,,,,,Completed,,0.0,0.0,0.0,13.0,Varuvägen 9a,,Älvsjö,Sweden,info@bergfalk.se,+46 (0)08396867,Europe,Northern Europe,"Älvsjö, Sweden",+46 (0)08398930,125 30,,"fish fillet, fresh produce, fresh produce distributor, meat distributor, seafood",2018-01-11,Private Equity,Buyout/LBO,,,,,Completed,2021-06-08,http://www.linkedin.com/company/ab-bergfalk-&-co/,Privately Held (backing),,https://my.pitchbook.com?c=124050-16,Distributors/Wholesale,Commercial Products,Business Products and Services (B2B),1.47,0.0,0.0,60.0,,,,,,,,,,,,,,,Private Equity,0.0,10.0,www.bergfalk.se,1.47,59.0,pe_row,1840.0
229,1.0,,Generating Revenue,,Private Equity-Backed,Leacy MG,126303-40,Leacy MG Limited,Leacy Classics,"Manufacturer and distributor of parts and accessories of classic British sports cars. The company's extensive range of classic parts including fuel pumps, tools, steering wheels and other related products.",,,https://www.facebook.com/LeacyClassics,"The company raised £1.6 million in the form of an asset-based lending facility from Bibby Financial Services on January 15, 2018. Proceeds from the loan will be used for raising working capital and the acquisition of XPart which also provides parts for classic Rover and MG cars.",2011-08-16,Private Equity,Buyout/LBO,Management Buy-In,,,,Completed,,-0.21,0.0,0.0,8.0,Aston Lane,Perry Barr,Birmingham,United Kingdom,,+44 (0)12 1356 8686,Europe,Western Europe,"Birmingham, United Kingdom",+44 (0)12 1356 3003,B20 3BW,England,"car accessories, car breaks, car meter, car parts",2018-01-15,Debt,Debt - General,Acquisition Financing,,2.16000313,Actual,Completed,2021-06-08,http://www.linkedin.com/company/leacy-classics,Privately Held (backing),,https://my.pitchbook.com?c=126303-40,Automotive,Transportation,Consumer Products and Services (B2C),4.77,0.01,0.14,83.0,-0.22,5.0,1.4,57.0,,2.16000313,445.0,0.0,0.0,-0.22,5.0,https://twitter.com/LeacyClassics,1.4,57.0,"Debt Financed, Private Equity",-0.19,8.0,www.leacyclassics.com,8.13,89.0,ot_row,1998.0
230,1.0,,Generating Revenue,,Private Equity-Backed,Leacy MG,126303-40,Leacy MG Limited,Leacy Classics,"Manufacturer and distributor of parts and accessories of classic British sports cars. The company's extensive range of classic parts including fuel pumps, tools, steering wheels and other related products.",,,https://www.facebook.com/LeacyClassics,"The company raised £1.6 million in the form of an asset-based lending facility from Bibby Financial Services on January 15, 2018. Proceeds from the loan will be used for raising working capital and the acquisition of XPart which also provides parts for classic Rover and MG cars.",2011-08-16,Private Equity,Buyout/LBO,Management Buy-In,,,,Completed,,-0.21,0.0,0.0,8.0,Aston Lane,Perry Barr,Birmingham,United Kingdom,,+44 (0)12 1356 8686,Europe,Western Europe,"Birmingham, United Kingdom",+44 (0)12 1356 3003,B20 3BW,England,"car accessories, car breaks, car meter, car parts",2018-01-15,Debt,Debt - General,Acquisition Financing,,2.16000313,Actual,Completed,2021-06-08,http://www.linkedin.com/company/leacy-classics,Privately Held (backing),,https://my.pitchbook.com?c=126303-40,Automotive,Transportation,Consumer Products and Services (B2C),4.77,0.01,0.14,83.0,-0.22,5.0,1.4,57.0,,2.16000313,445.0,0.0,0.0,-0.22,5.0,https://twitter.com/LeacyClassics,1.4,57.0,"Debt Financed, Private Equity",-0.19,8.0,www.leacyclassics.com,8.13,89.0,pe_row,1998.0
231,,,Generating Revenue,Spotless Group,Formerly PE-Backed,,12764-62,Spotless Group SAS,The Spotless Group,"Provider of home-care products. The company operates a group of subsidy companies providing products for laundry, fabric dye, insect control, air care, septic tank care, pet care and household cleaners. Its brands include Eau Ecarlate, Dylon, Grey and Catch.",1.0,,,"The company was in talks to be acquired by UBS (NYSE: UBS) on March 24, 2015 for an undisclosed amount. Subsequently the deal was cancelled. Previously, the company was acquired by Henkel (XTER:HEN) for EUR 940 million on July 18, 2014. The company is no longer actively tracked by PitchBook.",,Private Equity,Buyout/LBO,,,,,Completed,6.0,,,,,13 rue Madeleine Michelis,,Neuilly-sur-Seine,France,,,Europe,Western Europe,"Neuilly-sur-Seine, France",+33 (0)1 41 43 79 99,92200,,"consumer product, household care product, laundry aids",2015-03-24,Corporate,Merger/Acquisition,Corporate Divestiture,,,,Failed/Cancelled,2021-04-21,,Acquired/Merged,,https://my.pitchbook.com?c=12764-62,Household Products,Consumer Non-Durables,Consumer Products and Services (B2C),,,,,,,,,,90.60413543,,,,,,,,,"Debt Financed, M&A, Private Equity",,,www.spotlessgroup.eu,,,ot_row,
232,,,Generating Revenue,Spotless Group,Formerly PE-Backed,,12764-62,Spotless Group SAS,The Spotless Group,"Provider of home-care products. The company operates a group of subsidy companies providing products for laundry, fabric dye, insect control, air care, septic tank care, pet care and household cleaners. Its brands include Eau Ecarlate, Dylon, Grey and Catch.",1.0,,,"The company was in talks to be acquired by UBS (NYSE: UBS) on March 24, 2015 for an undisclosed amount. Subsequently the deal was cancelled. Previously, the company was acquired by Henkel (XTER:HEN) for EUR 940 million on July 18, 2014. The company is no longer actively tracked by PitchBook.",,Private Equity,Buyout/LBO,,,,,Completed,6.0,,,,,13 rue Madeleine Michelis,,Neuilly-sur-Seine,France,,,Europe,Western Europe,"Neuilly-sur-Seine, France",+33 (0)1 41 43 79 99,92200,,"consumer product, household care product, laundry aids",2015-03-24,Corporate,Merger/Acquisition,Corporate Divestiture,,,,Failed/Cancelled,2021-04-21,,Acquired/Merged,,https://my.pitchbook.com?c=12764-62,Household Products,Consumer Non-Durables,Consumer Products and Services (B2C),,,,,,,,,,90.60413543,,,,,,,,,"Debt Financed, M&A, Private Equity",,,www.spotlessgroup.eu,,,pe_row,
233,1.0,,Generating Revenue,NCC,Private Equity-Backed,,127969-66,"National Credit Center, Inc.",National Credit Center,Provider of credit and compliance services to the automotive industry. The company specializes leveraging credit and financial attributes that helps customer decisioning for retail automotive.,6.0,,https://www.facebook.com/NCCdirect,"The company completed a $100 million debt refinancing round on February 19, 2021. Capital One Financial, California Bank & Trust, Siemens Financial Services and Flagstar Bank provided a $100 million term loan A to the company.",1996-01-01,Private Equity,Buyout/LBO,,,,,Completed,,0.0,0.0,0.0,13.0,7373 Peak Drive,Suite 250,Las Vegas,United States,info@nccdirect.com,,Americas,North America,"Las Vegas, NV",+1 (800) 818-1802,89128,Nevada,"auto credit, automotive credit loan, compliance services, credit reporting, credit services",2021-02-19,Debt,Debt Refinancing,,,100.0,Actual,Completed,2021-06-08,http://www.linkedin.com/company/national-credit-center,Privately Held (backing),,https://my.pitchbook.com?c=127969-66,Specialized Finance,Other Financial Services,Financial Services,2.28,0.03,1.5,70.0,0.0,41.0,0.1,17.0,,,32.0,0.0,0.0,0.0,41.0,https://twitter.com/NCCDirect,0.1,17.0,"Debt Financed, Private Equity",0.0,10.0,www.nccdirect.com,4.47,81.0,ot_na,1996.0
234,,,Generating Revenue,,Formerly VC-backed,,129121-66,"Luma Home, Inc.",Luma,"Provider of a subscription service platform designed to manage home network's privacy, security and performance. The company's Luma Guardian is a WiFi mesh system with whole home WiFi, parental controls and network security scanning, enabling users to avail a personal IT team on demand at an affordable cost with complete cybersecurity.",60.0,,,"The company was acquired by First Alert a subsidiary of Newell Brands (NYSE: NWL) for $10 million on January 5, 2018. The company is no longer actively tracked by PitchBook.",2015-11-06,Venture Capital,Seed Round,Seed Round,,2.500001,Actual,Completed,32.0,,,,,P.O. Box 77465,Suite 208,Atlanta,United States,,,Americas,North America,"Atlanta, GA",,,Georgia,"electronics devices, home wifi, network security, parental control feature, wifi device, wifi routers, wifi security",2018-01-05,Corporate,Merger/Acquisition,,,10.0,Actual,Completed,2021-04-21,,Acquired/Merged,,https://my.pitchbook.com?c=129121-66,Connectivity Products,Communications and Networking,Information Technology,,,,,,,,,,22.0,,,,,,,,,Venture Capital,,,www.lumahome.com,,,vc_na,2014.0
235,1.0,,Generating Revenue,NCC,Private Equity-Backed,,127969-66,"National Credit Center, Inc.",National Credit Center,Provider of credit and compliance services to the automotive industry. The company specializes leveraging credit and financial attributes that helps customer decisioning for retail automotive.,6.0,,https://www.facebook.com/NCCdirect,"The company completed a $100 million debt refinancing round on February 19, 2021. Capital One Financial, California Bank & Trust, Siemens Financial Services and Flagstar Bank provided a $100 million term loan A to the company.",1996-01-01,Private Equity,Buyout/LBO,,,,,Completed,,0.0,0.0,0.0,13.0,7373 Peak Drive,Suite 250,Las Vegas,United States,info@nccdirect.com,,Americas,North America,"Las Vegas, NV",+1 (800) 818-1802,89128,Nevada,"auto credit, automotive credit loan, compliance services, credit reporting, credit services",2021-02-19,Debt,Debt Refinancing,,,100.0,Actual,Completed,2021-06-08,http://www.linkedin.com/company/national-credit-center,Privately Held (backing),,https://my.pitchbook.com?c=127969-66,Specialized Finance,Other Financial Services,Financial Services,2.28,0.03,1.5,70.0,0.0,41.0,0.1,17.0,,,32.0,0.0,0.0,0.0,41.0,https://twitter.com/NCCDirect,0.1,17.0,"Debt Financed, Private Equity",0.0,10.0,www.nccdirect.com,4.47,81.0,pe_na,1996.0
236,1.0,1.0,Generating Revenue/Not Profitable,,Formerly PE-Backed,,128483-56,"Charah Solutions, Inc.",Charah,"Charah Solutions Inc is a national service provider of mission-critical environmental services and byproduct sales to the power generation industry. It offers a suite of remediation and compliance services, byproduct sales and marketing, fossil services and environmental risk transfer services. It also designs and implements solutions for complex environmental projects such as coal ash pond closures and facilitate coal ash recycling through byproduct sales and other beneficial use services.",573.0,NYS,,"The company (NYS:CHRA) received $26 million of development capital from Bernhard Capital Partners on March 16, 2020 through a private placement.",2016-06-20,Debt,Mezzanine,,,,,Completed,1.0,-1.67,0.0,0.0,2.0,12601 Plantside Drive,,Louisville,United States,,+1 (502) 245-7398,Americas,North America,"Louisville, KY",+1 (502) 245-1353,40299,Kentucky,"coal combustion, coal combustion product, landfill management, power management, power plant management, recycling ash",2020-03-16,Private Equity,PIPE,,,26.0,Actual,Completed,2021-06-08,http://www.linkedin.com/company/charahsolutions,Publicly Held,,https://my.pitchbook.com?c=128483-56,Environmental Services (B2B),Commercial Services,Business Products and Services (B2B),7.28,0.0,0.0,88.0,,,,,CHRA,90.026404,,,,,,,,,"Debt Financed, Private Equity, Publicly Listed",-0.77,5.0,www.charah.com,4.69,82.0,ot_na,1987.0
